System Date,11/25/2024 12:59:34 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,21,WC1200,1,JADEC,JADEC WC1200-WC2000,192.168.1.3
System,Subsystem 1,31,XT2640-011,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,31,XT2640-011,2643AD1712002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,96,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1200,28918155,DAQ 1,-1,23,29033251,NI,9265,3,22609,2024-11-20,2025-11-20,360,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7085,CTRL-LOOP_OUTPUT_TCV-CW-3B,Control Loop TCV-CW-3B Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1724,WC1200_TCV-CW-3B,Valve,FISHER,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,WC1200,7086,CTRL-LOOP-09_PV_EVAP_WTR_E_TEMP,WC1200,7092,EVAP_WTR_E_TEMP_TET-EW-1A,Evap Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1748,M3049423,RTD,Pyromation,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7106,CTRL-LOOP-12_OUTPUT_FCV-EW-1,Control Loop 12 FCV-EW-1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1718,WC1200_FCV-EW-1,Valve,FISHER,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7112,CTRL-LOOP-13_OUTPUT_FCV-EW-7,Control Loop 13 FCV-EW-7 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1719,WC1200_FCV-EW-7,Valve,FISHER,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7122,CTRL-LOOP-15_AUTO_SP_FCV-CH-6,Control Loop 15 FCV-CH-6 Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1777,WC1200_LOOP-15_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,WC1200,7136,CTRL-LOOP-17_PV_OUTPUT_FCV-CH-6,WC1200,7124,CTRL-LOOP_OUTPUT_FCV-CH-6,Control Loop FCV-CH-6 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1716,WC1200_FCV-CH-6,Valve,FISHER,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7135,CTRL-LOOP-17_OUTPUT_CH-P1,Control Loop 17 CH-P1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1737,WC1200_CH-P1,Pump,,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,WC1200,7125,CTRL-LOOP-15_PV_CH_WTR_FLOW,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2024-02-28,2026-02-28,460,OK
Process Interfaces,WC1200,7393,AUX_COOLING_CAPACITY,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2024-02-28,2026-02-28,460,OK
Process Interfaces,WC1200,18783,OIL_SYS01_WTR_CLR-E_FLOW_01,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2024-02-28,2026-02-28,460,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7139,CH_WTR_E_FLOW_FT-CH-2,Plant Chilled Water Supply Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1728,14653351_14653318,Flow,Rosemount,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7140,CH_WTR_E_TEMP_TET-CH-1,Plant Chilled Water Supply Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1746,M3040E23,RTD,Pyromation,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7143,CH_WTR_L_TEMP_TET-CH-4,Plant Chilled Water Return Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1741,M303F323,RTD,Pyromation,,2018-01-01,2118-01-01,34004,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7146,COND_WTR_E_TEMP_TET-CW-4A,Cond Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1750,M304A923,RTD,Pyromation,,2018-01-01,2118-01-01,34004,OK
