System Date,9/11/2024 10:37:41 AM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,20,WC500-3,1,JADEC,JADEC WC500-WC1000,192.168.1.3
System,Subsystem 1,15,XT2640-006,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 2,71,XT2640-042,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,15,XT2640-006,2643AD1606002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,171,OK
Additional Equipment,71,XT2640-042,2643AD1605013,Xitron XT2640,XITRON,XT2640,2024-06-27,2025-06-27,289,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC500-3,29857707,DAQ 3A,2,16,29224145,NI,9214,1,22488,2024-08-27,2025-08-27,350,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6677,CTRL-LOOP-15_AUTO_SP_FCV-CH-6,Control Loop 15 FCV-CH-6 Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1774,WC500-3_LOOP-15_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,6691,CTRL-LOOP-17_PV_OUTPUT_FCV-CH-6,WC500-3,6679,CTRL-LOOP_OUTPUT_FCV-CH-6,Control Loop FCV-CH-6 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,686,WC500-3_FCV-CH-6,Valve,FISHER,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6690,CTRL-LOOP-17_OUTPUT_CH-P1,Control Loop 17 CH-P1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,701,WC500-3_CH-P1,Pump,,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,WC500-3,6680,CTRL-LOOP-15_PV_CH_WTR_FLOW,WC500-3,6693,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17695,14652927_14652900,Flow,Rosemount,,2024-02-15,2026-02-15,522,OK
Process Interfaces,WC500-3,7008,AUX_COOLING_CAPACITY,WC500-3,6693,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17695,14652927_14652900,Flow,Rosemount,,2024-02-15,2026-02-15,522,OK
Process Interfaces,WC500-3,17147,VSD_SYS01_WTR_HX-E_FLOW_01,WC500-3,6693,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17695,14652927_14652900,Flow,Rosemount,,2024-02-15,2026-02-15,522,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6694,CH_WTR_E_FLOW_FT-CH-2,Plant Chilled Water Supply Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1757,14652938_14652909,Flow,Rosemount,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6695,CH_WTR_E_TEMP_TET-CH-1,Plant Chilled Water Supply Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,718,M505E723,RTD,Pyromation,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6698,CH_WTR_L_TEMP_TET-CH-4,Plant Chilled Water Return Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,719,M505F023,RTD,Pyromation,,2018-01-01,2118-01-01,34079,OK
Process Interfaces,N/A,N/A,N/A,WC500-3,6701,COND_WTR_E_TEMP_TET-CW-4A,Cond Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,715,M4048F23,RTD,Pyromation,,2018-01-01,2118-01-01,34079,OK
