System Date,11/4/2024 1:24:02 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,21,WC1200,1,JADEC,JADEC WC1200-WC2000,192.168.1.3
System,Subsystem 1,31,XT2640-011,1,JADEC,Xitron XT2640,192.168.1.150
System,Subsystem 2,74,XT2640-045,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 3,79,XT2640-050,1,JADEC,Xitron XT2640,192.168.1.159
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,31,XT2640-011,2643AD1712002,Xitron XT2640,XITRON,XT2640,2024-03-01,2025-03-01,117,OK
Additional Equipment,74,XT2640-045,2643AD1606009,Xitron XT2640,XITRON,XT2640,2024-02-21,2025-02-21,109,OK
Additional Equipment,79,XT2640-050,2643AD1904001,Xitron XT2640,XITRON,XT2640,2024-06-27,2025-06-27,235,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1200,28520354,DAQ 3,2,93,29072571,NI,9208,3,19076,2024-01-05,2026-01-05,427,OK
Process Interfaces,WC1200,7086,CTRL-LOOP-09_PV_EVAP_WTR_E_TEMP,WC1200,7092,EVAP_WTR_E_TEMP_TET-EW-1A,Evap Water Loop Temp 1A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,1748,M3049423,RTD,Pyromation,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7106,CTRL-LOOP-12_OUTPUT_FCV-EW-1,Control Loop 12 FCV-EW-1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1718,WC1200_FCV-EW-1,Valve,FISHER,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7112,CTRL-LOOP-13_OUTPUT_FCV-EW-7,Control Loop 13 FCV-EW-7 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1719,WC1200_FCV-EW-7,Valve,FISHER,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7122,CTRL-LOOP-15_AUTO_SP_FCV-CH-6,Control Loop 15 FCV-CH-6 Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1777,WC1200_LOOP-15_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,WC1200,7136,CTRL-LOOP-17_PV_OUTPUT_FCV-CH-6,WC1200,7124,CTRL-LOOP_OUTPUT_FCV-CH-6,Control Loop FCV-CH-6 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1716,WC1200_FCV-CH-6,Valve,FISHER,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7135,CTRL-LOOP-17_OUTPUT_CH-P1,Control Loop 17 CH-P1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,1737,WC1200_CH-P1,Pump,,,2018-01-01,2118-01-01,34025,OK
Process Interfaces,WC1200,7125,CTRL-LOOP-15_PV_CH_WTR_FLOW,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2024-02-28,2026-02-28,481,OK
Process Interfaces,WC1200,7393,AUX_COOLING_CAPACITY,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2024-02-28,2026-02-28,481,OK
Process Interfaces,WC1200,18783,OIL_SYS01_WTR_CLR-E_FLOW_01,WC1200,7138,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1725,14652934_14652906,Flow,Rosemount,,2024-02-28,2026-02-28,481,OK
Process Interfaces,N/A,N/A,N/A,WC1200,7139,CH_WTR_E_FLOW_FT-CH-2,Plant Chilled Water Supply Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,1728,14653351_14653318,Flow,Rosemount,,2018-01-01,2118-01-01,34025,OK
