System Date,10/10/2024 12:41:18 PM
 
Report Type,System,System ID,System Name,Site ID,Site Name,System Type,System IP Address
System,Base System,17,WC1000-2,1,JADEC,JADEC WC500-WC1000,192.168.1.3
System,Subsystem 1,34,XT2640-012,1,JADEC,Xitron XT2640,192.168.1.152
System,Subsystem 2,70,XT2640-041,1,JADEC,Xitron XT2640,192.168.1.151
System,Subsystem 3,75,XT2640-046,1,JADEC,Xitron XT2640,192.168.1.150
 
Report Type,System ID,System Name,Serial Number,System Type,Manufacturer,Model,Calibration Date,Calibration Due,Cal Due (Days),Status
Additional Equipment,34,XT2640-012,2643AD1712001,Xitron XT2640,XITRON,XT2640,2024-04-16,2025-04-16,188,OK
Additional Equipment,70,XT2640-041,2643AD1605005,Xitron XT2640,XITRON,XT2640,2024-03-28,2025-03-28,169,OK
Additional Equipment,75,XT2640-046,2643AD1606014,Xitron XT2640,XITRON,XT2640,2024-06-03,2025-06-03,236,OK
 
Report Type,System,Chassis Serial Number,Chassis Panel,Chassis Index,Collection Hardware ID,Module Serial Number,Manufacturer,Model,Slot,Calibration ID,Calibration Date,Calibration Due Date,Cal Due (Days),Status
Collection Hardware,WC1000-2,28624450,DAQ 3B,4,41,28798188,NI,9208,2,20297,2024-04-12,2026-04-12,549,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3526,CTRL-LOOP-15_AUTO_SP_FCV-CH-6,Control Loop 15 FCV-CH-6 Auto Setpoint,AI,TRUE,TRUE,TRUE,-Inf,Inf,%,degF,1783,WC1000-2_LOOP-15_AUTO-SP,Loop,,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3540,CTRL-LOOP-17_PV_OUTPUT_FCV-CH-6,WC1000-2,3528,CTRL-LOOP_OUTPUT_FCV-CH-6,Control Loop FCV-CH-6 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,337,WC1000-2_FCV-CH-6,Valve,FISHER,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3539,CTRL-LOOP-17_OUTPUT_CH-P1,Control Loop 17 CH-P1 Output,AO,TRUE,TRUE,TRUE,0.003000,0.021000,mA,%,346,WC1000-2_CH-P1,Pump,,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3529,CTRL-LOOP-15_PV_CH_WTR_FLOW,WC1000-2,3542,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17707,14652933_14652905,Flow,Rosemount,,2024-05-09,2026-05-09,576,OK
Process Interfaces,WC1000-2,3857,AUX_COOLING_CAPACITY,WC1000-2,3542,CH_WTR_E_FLOW_FT-CH-1,Aux Cooling Water Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,17707,14652933_14652905,Flow,Rosemount,,2024-05-09,2026-05-09,576,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3543,CH_WTR_E_FLOW_FT-CH-2,Plant Chilled Water Supply Flow,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,374,14653307_14653342,Flow,Rosemount,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3544,CH_WTR_E_TEMP_TET-CH-1,Plant Chilled Water Supply Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,368,M205F023,RTD,Pyromation,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3547,CH_WTR_L_TEMP_TET-CH-4,Plant Chilled Water Return Temp,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,365,M205E423,RTD,Pyromation,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3550,COND_WTR_E_TEMP_TET-CW-4A,Cond Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,361,M1054623,RTD,Pyromation,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3554,EVAP_WTR_E_TEMP_TET-EW-4A,Evap Water Loop Temp 4A,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,degF,370,M2060023,RTD,Pyromation,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3850,COND_PUMP_DIFF_PRESS_CW-P1,WC1000-2,3556,COND_WTR_PRESS_PT-CW-1,Cond Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,350,1A00I2W38I3,Pressure,WIKA,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3557,COND_WTR_PRESS_PT-CW-2,Cond Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,354,1A00J0UX5IR,Pressure,WIKA,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3850,COND_PUMP_DIFF_PRESS_CW-P1,WC1000-2,3558,COND_WTR_PRESS_PT-CW-3,Cond Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,351,1A00J0UQA2O,Pressure,WIKA,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3851,EVAP_PUMP_DIFF_PRESS_EW-P1,WC1000-2,3559,EVAP_WTR_PRESS_PT-EW-1,Evap Water Pump Discharge Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,349,1A00I2W041V,Pressure,WIKA,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,N/A,N/A,N/A,WC1000-2,3560,EVAP_WTR_PRESS_PT-EW-2,Evap Water Loop Back Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,352,1A00J0USZ3F,Pressure,WIKA,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,3851,EVAP_PUMP_DIFF_PRESS_EW-P1,WC1000-2,3561,EVAP_WTR_PRESS_PT-EW-3,Evap Water Pump Suction Pressure,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psi,353,1A00J0UTLJ3,Pressure,WIKA,,2018-01-01,2118-01-01,34050,OK
Process Interfaces,WC1000-2,45526,EVAP_SYS01_RVAP_TOP_PRESS_01,WC1000-2,3722,DAQ3A_AI_001,DAQ3A Current Input 1,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4820,213696,Pressure,GP:50,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,45527,COND_SYS01_RVAP_TOP_PRESS_01,WC1000-2,3723,DAQ3A_AI_002,DAQ3A Current Input 2,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4514,213719,Pressure,GP:50,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,23479,OIL_SYS01_OIL_PUMP_PRESS_01,WC1000-2,3724,DAQ3A_AI_003,DAQ3A Current Input 3,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4737,495856,Pressure,Omega,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,45528,OIL_SYS02_OIL_PUMP_PRESS_01,WC1000-2,3725,DAQ3A_AI_004,DAQ3A Current Input 4,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4727,213699,Pressure,GP:50,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,23480,OIL_SYS01_OIL_SUMP-MID_PRESS_01,WC1000-2,3726,DAQ3A_AI_005,DAQ3A Current Input 5,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4627,213713,Pressure,GP:50,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,23481,AMB_UNIT_AIR_EXT_PRESS_01,WC1000-2,3727,DAQ3A_AI_006,DAQ3A Current Input 6,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4682,466956,Pressure,Omega,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,23484,COND_UNIT_WTR_CWCV-E_PRESS_01,WC1000-2,3728,DAQ3A_AI_007,DAQ3A Current Input 7,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,16565,532143,Pressure,Omega,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,23485,COND_UNIT_WTR_CWCV-L_PRESS_01,WC1000-2,3729,DAQ3A_AI_008,DAQ3A Current Input 8,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4765,213705,Pressure,GP:50,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,23486,COND_UNIT_WTR_CWCV-BYP_PRESS_01,WC1000-2,3730,DAQ3A_AI_009,DAQ3A Current Input 9,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,psia,4728,213710,Pressure,GP:50,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,14513,EVAP_UNIT_WTR_NOZ_DP_01,WC1000-2,3731,DAQ3A_AI_010,DAQ3A Current Input 10,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,4667,1935655,Diff Pressure,Rosemount,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,14510,COND_UNIT_WTR_NOZ_DP_01,WC1000-2,3732,DAQ3A_AI_011,DAQ3A Current Input 11,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,9550,1077649,Diff Pressure,Rosemount,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,45529,OIL_SYS01_WTR_NOZ_DP_01,WC1000-2,3733,DAQ3A_AI_012,DAQ3A Current Input 12,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,9865,1410409,Diff Pressure,Rosemount,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,45530,OIL_SYS02_WTR_NOZ_DP_01,WC1000-2,3734,DAQ3A_AI_013,DAQ3A Current Input 13,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,ftH2O,2888,1343717,Diff Pressure,Rosemount,,2024-10-01,2025-04-01,173,OK
Process Interfaces,WC1000-2,23483,OIL_SYS01_WTR_CLR-E_FLOW_01,WC1000-2,3735,DAQ3A_AI_014,DAQ3A Current Input 14,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,24232,12218424_34096849,Flow,Micro Motion,,2022-08-24,2025-08-24,318,OK
Process Interfaces,WC1000-2,45531,OIL_SYS02_WTR_CLR-E_FLOW_01,WC1000-2,3736,DAQ3A_AI_015,DAQ3A Current Input 15,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,24233,12146944_12147678,Flow,Micro Motion,,2022-07-13,2025-07-13,276,OK
Process Interfaces,WC1000-2,23477,COND_UNIT_WTR_CWCV-BYP_FLOW_01,WC1000-2,3737,DAQ3A_AI_016,DAQ3A Current Input 16,AI,TRUE,TRUE,TRUE,0.003000,0.021000,mA,gpm,22047,0870153677_0860250174,Flow,Rosemount,,2023-02-13,2025-02-13,126,OK
Process Interfaces,WC1000-2,14285,COND_WTR_E_TEMP_TET-CW-2A,WC1000-2,17323,DAQ2_RTD_001,DAQ2 RTD Input 1,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21995,EDC880,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,14286,COND_WTR_E_TEMP_TET-CW-2B,WC1000-2,17324,DAQ2_RTD_002,DAQ2 RTD Input 2,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21993,EDC87C,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,14287,COND_WTR_L_TEMP_TET-CW-3A,WC1000-2,17325,DAQ2_RTD_003,DAQ2 RTD Input 3,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21992,EDC596,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,14288,COND_WTR_L_TEMP_TET-CW-3B,WC1000-2,17326,DAQ2_RTD_004,DAQ2 RTD Input 4,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21990,EDC58E,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,14289,EVAP_WTR_E_TEMP_TET-EW-2A,WC1000-2,17327,DAQ2_RTD_005,DAQ2 RTD Input 5,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21986,EDB872,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,14290,EVAP_WTR_E_TEMP_TET-EW-2B,WC1000-2,17328,DAQ2_RTD_006,DAQ2 RTD Input 6,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21989,EDB9CB,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,14291,EVAP_WTR_L_TEMP_TET-EW-3A,WC1000-2,17329,DAQ2_RTD_007,DAQ2 RTD Input 7,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21994,EDC87D,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,14292,EVAP_WTR_L_TEMP_TET-EW-3B,WC1000-2,17330,DAQ2_RTD_008,DAQ2 RTD Input 8,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21996,EDC8B6,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
Process Interfaces,WC1000-2,3545,CH_WTR_E_TEMP_TET-CH-2,WC1000-2,17331,DAQ2_RTD_009,DAQ2 RTD Input 9,AI,TRUE,TRUE,TRUE,0.000000,1000.000000,Ohms,degF,21987,EDB874,RTD,Pyromation,,2024-10-02,2025-04-02,174,OK
